HCPCS,MOD,DESCRIPTION,CODE
35152,,Repair artery rupture knee,A
3517F,,Hbv assess&results intrp 1yr,M
35180,,Repair blood vessel lesion,A
35182,,Repair blood vessel lesion,A
35184,,Repair blood vessel lesion,A
35188,,Repair blood vessel lesion,A
35189,,Repair blood vessel lesion,A
35190,,Repair blood vessel lesion,A
3520F,,Cdifficile testing performe,I
35201,,Repair blood vessel lesion,A
35206,,Repair blood vessel lesion,A
35207,,Repair blood vessel lesion,A
35211,,Repair blood vessel lesion,A
35216,,Repair blood vessel lesion,A
35221,,Repair blood vessel lesion,A
35226,,Repair blood vessel lesion,A
35231,,Repair blood vessel lesion,A
35236,,Repair blood vessel lesion,A
35241,,Repair blood vessel lesion,A
35246,,Repair blood vessel lesion,A
35251,,Repair blood vessel lesion,A
35256,,Repair blood vessel lesion,A
35261,,Repair blood vessel lesion,A
35266,,Repair blood vessel lesion,A
35271,,Repair blood vessel lesion,A
35276,,Repair blood vessel lesion,A
35281,,Repair blood vessel lesion,A
35286,,Repair blood vessel lesion,A
35301,,Rechanneling of artery,A
35302,,Rechanneling of artery,A
35303,,Rechanneling of artery,A
35304,,Rechanneling of artery,A
35305,,Rechanneling of artery,A
35306,,Rechanneling of artery,A
35311,,Rechanneling of artery,A
35321,,Rechanneling of artery,A
35331,,Rechanneling of artery,A
35341,,Rechanneling of artery,A
35351,,Rechanneling of artery,A
35355,,Rechanneling of artery,A
35361,,Rechanneling of artery,A
35363,,Rechanneling of artery,A
35371,,Rechanneling of artery,A
35372,,Rechanneling of artery,A
35390,,Reoperation carotid add-on,A
35400,,Angioscopy,A
35450,,Repair arterial blockage,A
35452,,Repair arterial blockage,A
35458,,Repair arterial blockage,A
35460,,Repair venous blockage,A
35471,,Repair arterial blockage,A
35472,,Repair arterial blockage,A
35475,,Repair arterial blockage,R
35476,,Repair venous blockage,A
3550F,,Low rsk thromboembolism,I
35500,,Harvest vein for bypass,A
35501,,Artery bypass graft,A
35506,,Artery bypass graft,A
35508,,Artery bypass graft,A
35509,,Artery bypass graft,A
3551F,,Intrmed rsk thromboembolism,I
35510,,Artery bypass graft,A
35511,,Artery bypass graft,A
35512,,Artery bypass graft,A
35515,,Artery bypass graft,A
35516,,Artery bypass graft,A
35518,,Artery bypass graft,A
3552F,,Hgh risk for thromboembolism,I
35521,,Artery bypass graft,A
35522,,Artery bypass graft,A
35523,,Artery bypass graft,A
35525,,Artery bypass graft,A
35526,,Artery bypass graft,A
35531,,Artery bypass graft,A
35533,,Artery bypass graft,A
35535,,Artery bypass graft,A
35536,,Artery bypass graft,A
35537,,Artery bypass graft,A
35538,,Artery bypass graft,A
35539,,Artery bypass graft,A
35540,,Artery bypass graft,A
3555F,,Pt inr measurement performed,I
35556,,Artery bypass graft,A
35558,,Artery bypass graft,A
35560,,Artery bypass graft,A
35563,,Artery bypass graft,A
35565,,Artery bypass graft,A
35566,,Artery bypass graft,A
35570,,Artery bypass graft,A
35571,,Artery bypass graft,A
35572,,Harvest femoropopliteal vein,A
35583,,Vein bypass graft,A
35585,,Vein bypass graft,A
35587,,Vein bypass graft,A
35600,,Harvest art for cabg add-on,A
35601,,Artery bypass graft,A
35606,,Artery bypass graft,A
35612,,Artery bypass graft,A
35616,,Artery bypass graft,A
35621,,Artery bypass graft,A
35623,,Bypass graft not vein,A
35626,,Artery bypass graft,A
35631,,Artery bypass graft,A
35632,,Artery bypass graft,A
35633,,Artery bypass graft,A
35634,,Artery bypass graft,A
35636,,Artery bypass graft,A
35637,,Artery bypass graft,A
35638,,Artery bypass graft,A
35642,,Artery bypass graft,A
35645,,Artery bypass graft,A
35646,,Artery bypass graft,A
35647,,Artery bypass graft,A
35650,,Artery bypass graft,A
35654,,Artery bypass graft,A
35656,,Artery bypass graft,A
35661,,Artery bypass graft,A
35663,,Artery bypass graft,A
35665,,Artery bypass graft,A
35666,,Artery bypass graft,A
35671,,Artery bypass graft,A
35681,,Composite bypass graft,A
35682,,Composite bypass graft,A
35683,,Composite bypass graft,A
35685,,Bypass graft patency/patch,A
35686,,Bypass graft/av fist patency,A
35691,,Arterial transposition,A
35693,,Arterial transposition,A
35694,,Arterial transposition,A
35695,,Arterial transposition,A
35697,,Reimplant artery each,A
3570F,,Rprt bone scint xref w xray,M
35700,,Reoperation bypass graft,A
35701,,Exploration carotid artery,A
3572F,,Pt consid poss risk fx,I
35721,,Exploration femoral artery,A
3573F,,Pt not consid poss risk fx,I
35741,,Exploration popliteal artery,A
35761,,Exploration of artery/vein,A
35800,,Explore neck vessels,A
35820,,Explore chest vessels,A
35840,,Explore abdominal vessels,A
35860,,Explore limb vessels,A
35870,,Repair vessel graft defect,A
35875,,Removal of clot in graft,A
35876,,Removal of clot in graft,A
35879,,Revise graft w/vein,A
35881,,Revise graft w/vein,A
35883,,Revise graft w/nonauto graft,A
35884,,Revise graft w/vein,A
35901,,Excision graft neck,A
35903,,Excision graft extremity,A
35905,,Excision graft thorax,A
35907,,Excision graft abdomen,A
36000,,Place needle in vein,B
36002,,Pseudoaneurysm injection trt,A
36005,,Injection ext venography,A
36010,,Place catheter in vein,A
36011,,Place catheter in vein,A
36012,,Place catheter in vein,A
36013,,Place catheter in artery,A
36014,,Place catheter in artery,A
36015,,Place catheter in artery,A
36100,,Establish access to artery,A
36120,,Establish access to artery,A
36140,,Establish access to artery,A
36147,,Access av dial grft for eval,A
36148,,Access av dial grft for proc,A
36160,,Establish access to aorta,A
36200,,Place catheter in aorta,A
36215,,Place catheter in artery,A
36216,,Place catheter in artery,A
36217,,Place catheter in artery,A
36218,,Place catheter in artery,A
36245,,Ins cath abd/l-ext art 1st,A
36246,,Ins cath abd/l-ext art 2nd,A
36247,,Ins cath abd/l-ext art 3rd,A
36248,,Ins cath abd/l-ext art addl,A
36251,,Ins cath ren art 1st unilat,A
36252,,Ins cath ren art 1st bilat,A
36253,,Ins cath ren art 2nd+ unilat,A
36254,,Ins cath ren art 2nd+ bilat,A
36260,,Insertion of infusion pump,A
36261,,Revision of infusion pump,A
36262,,Removal of infusion pump,A
36299,,Vessel injection procedure,C
36400,,Bl draw < 3 yrs fem/jugular,A
36405,,Bl draw < 3 yrs scalp vein,A
36406,,Bl draw < 3 yrs other vein,A
36410,,Non-routine bl draw > 3 yrs,A
36415,,Routine venipuncture,X
36416,,Capillary blood draw,B
36420,,Vein access cutdown < 1 yr,A
36425,,Vein access cutdown > 1 yr,A
36430,,Blood transfusion service,A
36440,,Bl push transfuse 2 yr or <,A
36450,,Bl exchange/transfuse nb,A
36455,,Bl exchange/transfuse non-nb,A
36460,,Transfusion service fetal,A
36468,,Injection(s) spider veins,R
36469,,Injection(s) spider veins,R
36470,,Injection therapy of vein,A
36471,,Injection therapy of veins,A
36475,,Endovenous rf 1st vein,A
36476,,Endovenous rf vein add-on,A
36478,,Endovenous laser 1st vein,A
36479,,Endovenous laser vein addon,A
36481,,Insertion of catheter vein,A
3650F,,Eeg ordered rvwd reqstd,I
36500,,Insertion of catheter vein,A
36510,,Insertion of catheter vein,A
36511,,Apheresis wbc,A
36512,,Apheresis rbc,A
36513,,Apheresis platelets,A
36514,,Apheresis plasma,A
36515,,Apheresis adsorp/reinfuse,A
36516,,Apheresis selective,A
36522,,Photopheresis,A
36555,,Insert non-tunnel cv cath,A
36556,,Insert non-tunnel cv cath,A
36557,,Insert tunneled cv cath,A
36558,,Insert tunneled cv cath,A
36560,,Insert tunneled cv cath,A
36561,,Insert tunneled cv cath,A
36563,,Insert tunneled cv cath,A
36565,,Insert tunneled cv cath,A
36566,,Insert tunneled cv cath,A
36568,,Insert picc cath,A
36569,,Insert picc cath,A
36570,,Insert picvad cath,A
36571,,Insert picvad cath,A
36575,,Repair tunneled cv cath,A
36576,,Repair tunneled cv cath,A
36578,,Replace tunneled cv cath,A
36580,,Replace cvad cath,A
36581,,Replace tunneled cv cath,A
36582,,Replace tunneled cv cath,A
36583,,Replace tunneled cv cath,A
36584,,Replace picc cath,A
36585,,Replace picvad cath,A
36589,,Removal tunneled cv cath,A
36590,,Removal tunneled cv cath,A
36591,,Draw blood off venous device,T
36592,,Collect blood from picc,T
36593,,Declot vascular device,A
36595,,Mech remov tunneled cv cath,A
36596,,Mech remov tunneled cv cath,A
36597,,Reposition venous catheter,A
36598,,Inj w/fluor eval cv device,T
36600,,Withdrawal of arterial blood,A
36620,,Insertion catheter artery,A
36625,,Insertion catheter artery,A
36640,,Insertion catheter artery,A
36660,,Insertion catheter artery,A
36680,,Insert needle bone cavity,A
36800,,Insertion of cannula,A
36810,,Insertion of cannula,A
36815,,Insertion of cannula,A
36818,,Av fuse uppr arm cephalic,A
36819,,Av fuse uppr arm basilic,A
36820,,Av fusion/forearm vein,A
36821,,Av fusion direct any site,A
36822,,Insertion of cannula(s),A
36823,,Insertion of cannula(s),A
36825,,Artery-vein autograft,A
36830,,Artery-vein nonautograft,A
36831,,Open thrombect av fistula,A
36832,,Av fistula revision open,A
36833,,Av fistula revision,A
36835,,Artery to vein shunt,A
36838,,Dist revas ligation hemo,A
36860,,External cannula declotting,A
36861,,Cannula declotting,A
36870,,Percut thrombect av fistula,A
3700F,,Psych disorders assessed,M
37140,,Revision of circulation,A
37145,,Revision of circulation,A
37160,,Revision of circulation,A
37180,,Revision of circulation,A
37181,,Splice spleen/kidney veins,A
37182,,Insert hepatic shunt (tips),A
37183,,Remove hepatic shunt (tips),A
37184,,Prim art mech thrombectomy,A
37185,,Prim art m-thrombect add-on,A
37186,,Sec art m-thrombect add-on,A
37187,,Venous mech thrombectomy,A
37188,,Venous m-thrombectomy add-on,A
37191,,Ins endovas vena cava filtr,A
37192,,Redo endovas vena cava filtr,A
37193,,Rem endovas vena cava filter,A
37195,,Thrombolytic therapy stroke,C
3720F,,Cognit impairment assessed,M
37200,,Transcatheter biopsy,A
37201,,Transcatheter therapy infuse,A
37202,,Transcatheter therapy infuse,A
37203,,Transcatheter retrieval,A
37204,,Transcatheter occlusion,A
37205,,Transcath iv stent percut,A
37206,,Transcath iv stent/perc addl,A
37207,,Transcath iv stent open,A
37208,,Transcath iv stent/open addl,A
37209,,Change iv cath at thromb tx,A
37210,,Embolization uterine fibroid,A
37215,,Transcath stent cca w/eps,R
37216,,Transcath stent cca w/o eps,N
37220,,Iliac revasc,A
37221,,Iliac revasc w/stent,A
37222,,Iliac revasc add-on,A
37223,,Iliac revasc w/stent add-on,A
37224,,Fem/popl revas w/tla,A
37225,,Fem/popl revas w/ather,A
37226,,Fem/popl revasc w/stent,A
37227,,Fem/popl revasc stnt & ather,A
37228,,Tib/per revasc w/tla,A
37229,,Tib/per revasc w/ather,A
37230,,Tib/per revasc w/stent,A
37231,,Tib/per revasc stent & ather,A
37232,,Tib/per revasc add-on,A
37233,,Tibper revasc w/ather add-on,A
37234,,Revsc opn/prq tib/pero stent,A
37235,,Tib/per revasc stnt & ather,A
3725F,,Screen depression performed,M
37250,,Iv us first vessel add-on,A
37251,,Iv us each add vessel add-on,A
3750F,,Ptnotrcvngsteroid>/=10mg/day,M
37500,,Endoscopy ligate perf veins,A
37501,,Vascular endoscopy procedure,C
37565,,Ligation of neck vein,A
37600,,Ligation of neck artery,A
37605,,Ligation of neck artery,A
37606,,Ligation of neck artery,A
37607,,Ligation of a-v fistula,A
37609,,Temporal artery procedure,A
37615,,Ligation of neck artery,A
37616,,Ligation of chest artery,A
37617,,Ligation of abdomen artery,A
37618,,Ligation of extremity artery,A
37619,,Ligation of inf vena cava,A
37650,,Revision of major vein,A
37660,,Revision of major vein,A
37700,,Revise leg vein,A
37718,,Ligate/strip short leg vein,A
37722,,Ligate/strip long leg vein,A
37735,,Removal of leg veins/lesion,A
37760,,Ligate leg veins radical,A
37761,,Ligate leg veins open,A
37765,,Stab phleb veins xtr 10-20,A
37766,,Phleb veins - extrem 20+,A
37780,,Revision of leg vein,A
37785,,Ligate/divide/excise vein,A
37788,,Revascularization penis,A
37790,,Penile venous occlusion,A
37799,,Vascular surgery procedure,C
38100,,Removal of spleen total,A
38101,,Removal of spleen partial,A
38102,,Removal of spleen total,A
38115,,Repair of ruptured spleen,A
38120,,Laparoscopy splenectomy,A
38129,,Laparoscope proc spleen,C
38200,,Injection for spleen x-ray,A
38204,,Bl donor search management,B
38205,,Harvest allogeneic stem cell,R
38206,,Harvest auto stem cells,R
38207,,Cryopreserve stem cells,I
38208,,Thaw preserved stem cells,I
38209,,Wash harvest stem cells,I
38210,,T-cell depletion of harvest,I
38211,,Tumor cell deplete of harvst,I
38212,,Rbc depletion of harvest,I
38213,,Platelet deplete of harvest,I
38214,,Volume deplete of harvest,I
38215,,Harvest stem cell concentrte,I
38220,,Bone marrow aspiration,A
38221,,Bone marrow biopsy,A
38230,,Bone marrow harvest allogen,A
38232,,Bone marrow harvest autolog,A
38240,,Bn marrow/stm transplt allo,R
38241,,Bn marrow/stm transplt auto,R
38242,,Lymphocyte infuse transplant,A
38300,,Drainage lymph node lesion,A
38305,,Drainage lymph node lesion,A
38308,,Incision of lymph channels,A
38380,,Thoracic duct procedure,A
38381,,Thoracic duct procedure,A
38382,,Thoracic duct procedure,A
38500,,Biopsy/removal lymph nodes,A
38505,,Needle biopsy lymph nodes,A
38510,,Biopsy/removal lymph nodes,A
38520,,Biopsy/removal lymph nodes,A
38525,,Biopsy/removal lymph nodes,A
38530,,Biopsy/removal lymph nodes,A
38542,,Explore deep node(s) neck,A
38550,,Removal neck/armpit lesion,A
38555,,Removal neck/armpit lesion,A
38562,,Removal pelvic lymph nodes,A
38564,,Removal abdomen lymph nodes,A
38570,,Laparoscopy lymph node biop,A
38571,,Laparoscopy lymphadenectomy,A
38572,,Laparoscopy lymphadenectomy,A
38589,,Laparoscope proc lymphatic,C
38700,,Removal of lymph nodes neck,A
38720,,Removal of lymph nodes neck,A
38724,,Removal of lymph nodes neck,A
38740,,Remove armpit lymph nodes,A
38745,,Remove armpit lymph nodes,A
38746,,Remove thoracic lymph nodes,A
38747,,Remove abdominal lymph nodes,A
38760,,Remove groin lymph nodes,A
38765,,Remove groin lymph nodes,A
38770,,Remove pelvis lymph nodes,A
38780,,Remove abdomen lymph nodes,A
38790,,Inject for lymphatic x-ray,A
38792,,Ra tracer id of sentinl node,A
38794,,Access thoracic lymph duct,A
38900,,Io map of sent lymph node,A
38999,,Blood/lymph system procedure,C
39000,,Exploration of chest,A
39010,,Exploration of chest,A
39200,,Resect mediastinal cyst,A
39220,,Resect mediastinal tumor,A
39400,,Mediastinoscopy incl biopsy,A
39499,,Chest procedure,C
39501,,Repair diaphragm laceration,A
39503,,Repair of diaphragm hernia,A
39540,,Repair of diaphragm hernia,A
39541,,Repair of diaphragm hernia,A
39545,,Revision of diaphragm,A
39560,,Resect diaphragm simple,A
39561,,Resect diaphragm complex,A
39599,,Diaphragm surgery procedure,C
4000F,,Tobacco use txmnt counseling,M
4001F,,Tobacco use txmnt pharmacol,M
4003F,,Pt ed write/oral pts w/ hf,I
4004F,,Pt tobacco screen rcvd tlk,M
4005F,,Pharm thx for op rxd,M
4008F,,Beta-blocker therapy rxd/tkn,M
4010F,,ACE/ARB therapy rxd/taken,M
4011F,,Oral antiplatelet therapy rx,I
4012F,,Warfarin therapy rx,M
4013F,,Statin therapy/currently tkn,M
4014F,,Written discharge instr prvd,I
4015F,,Persist asthma medicine ctrl,I
4016F,,Anti-inflm/anlgsc agent rx,I
4017F,,Gi prophylaxis for nsaid rx,I
4018F,,Therapy exercise joint rx,I
4019F,,Doc recpt counsl vit d/calc+,I
4025F,,Inhaled bronchodilator rx,M
4030F,,Oxygen therapy rx,I
4033F,,Pulmonary rehab rec,I
4035F,,Influenza imm rec,M
4037F,,Influenza imm order/admin,M
4040F,,Pneumoc vac/admin/rcvd,M
4041F,,Doc order cefazolin/cefurox,M
4042F,,Doc antibio not given,M
4043F,,Doc order given stop antibio,M
4044F,,Doc order given vte prophylx,M
4045F,,Empiric antibiotic rx,M
4046F,,Doc antibio given b/4 surg,M
4047F,,Doc antibio given b/4 surg,M
4048F,,Doc antibio given b/4 surg,M
4049F,,Doc order given stop antibio,M
40490,,Biopsy of lip,A
4050F,,Ht care plan doc,M
40500,,Partial excision of lip,A
4051F,,Referred for an AV fistula,I
40510,,Partial excision of lip,A
4052F,,Hemodialysis via AV fistula,I
40520,,Partial excision of lip,A
40525,,Reconstruct lip with flap,A
40527,,Reconstruct lip with flap,A
4053F,,Hemodialysis via AV graft,I
40530,,Partial removal of lip,A
4054F,,Hemodialysis via catheter,I
4055F,,Pt rcvng periton dialysis,I
4056F,,Approp oral rehyd recommd,I
4058F,,Ped gastro ed given caregvr,I
4060F,,Psych svcs provided,I
4062F,,Pt referral psych docd,I
4063F,,Antidepres rxthxpy not rxd,I
4064F,,Antidepressant rx,I
4065F,,Antipsychotic rx,I
40650,,Repair lip,A
40652,,Repair lip,A
40654,,Repair lip,A
4066F,,ECT provided,I
4067F,,Pt referral for ect docd,I
4069F,,Vte prophylaxis rcvd,I
4070F,,Dvt prophylx recvd day 2,M
40700,,Repair cleft lip/nasal,A
40701,,Repair cleft lip/nasal,A
40702,,Repair cleft lip/nasal,A
40720,,Repair cleft lip/nasal,A
4073F,,Oral antiplat thx rx dischrg,I
4075F,,Anticoag thx rx at dischrg,M
40761,,Repair cleft lip/nasal,A
4077F,,Doc t-pa admin considered,I
4079F,,Doc rehab svcs considered,I
40799,,Lip surgery procedure,C
40800,,Drainage of mouth lesion,A
40801,,Drainage of mouth lesion,A
40804,,Removal foreign body mouth,A
40805,,Removal foreign body mouth,A
40806,,Incision of lip fold,A
40808,,Biopsy of mouth lesion,A
40810,,Excision of mouth lesion,A
40812,,Excise/repair mouth lesion,A
40814,,Excise/repair mouth lesion,A
40816,,Excision of mouth lesion,A
40818,,Excise oral mucosa for graft,A
40819,,Excise lip or cheek fold,A
40820,,Treatment of mouth lesion,A
40830,,Repair mouth laceration,A
40831,,Repair mouth laceration,A
4084F,,Aspirin recvd w/in 24 hrs,M
40840,,Reconstruction of mouth,R
40842,,Reconstruction of mouth,R
40843,,Reconstruction of mouth,R
40844,,Reconstruction of mouth,R
40845,,Reconstruction of mouth,R
4086F,,Aspirin/clopidogrel rxd,M
40899,,Mouth surgery procedure,C
4090F,,Pt rcvng epo thxpy,M
4095F,,Pt not rcvng epo thxpy,M
4100F,,Biphos thxpy vein ord/recvd,M
41000,,Drainage of mouth lesion,A
41005,,Drainage of mouth lesion,A
41006,,Drainage of mouth lesion,A
41007,,Drainage of mouth lesion,A
41008,,Drainage of mouth lesion,A
41009,,Drainage of mouth lesion,A
41010,,Incision of tongue fold,A
41015,,Drainage of mouth lesion,A
41016,,Drainage of mouth lesion,A
41017,,Drainage of mouth lesion,A
41018,,Drainage of mouth lesion,A
41019,,Place needles h&n for rt,A
4110F,,Int mam art used for cabg,M
41100,,Biopsy of tongue,A
41105,,Biopsy of tongue,A
41108,,Biopsy of floor of mouth,A
41110,,Excision of tongue lesion,A
41112,,Excision of tongue lesion,A
41113,,Excision of tongue lesion,A
41114,,Excision of tongue lesion,A
41115,,Excision of tongue fold,A
41116,,Excision of mouth lesion,A
41120,,Partial removal of tongue,A
41130,,Partial removal of tongue,A
41135,,Tongue and neck surgery,A
41140,,Removal of tongue,A
41145,,Tongue removal neck surgery,A
4115F,,Beta blckr admin w/in 24 hrs,M
41150,,Tongue mouth jaw surgery,A
41153,,Tongue mouth neck surgery,A
41155,,Tongue jaw & neck surgery,A
4120F,,Antibiot rxd/given,M
4124F,,Antibiot not rxd/given,M
41250,,Repair tongue laceration,A
41251,,Repair tongue laceration,A
41252,,Repair tongue laceration,A
4130F,,Topical prep rx aoe,M
4131F,,Syst antimicrobial thx rx,M
4132F,,No syst antimicrobial thx rx,M
4133F,,Antihist/decong rx/recom,I
4134F,,No antihist/decong rx/recom,I
4135F,,Systemic corticosteroids rx,I
4136F,,Syst corticosteroids not rx,I
4140F,,Inhaled corticosteroids rxd,M
4142F,,Corticoster sparng txmnt rxd,M
4144F,,Alt long-term cntrl med rxd,M
4145F,,2+ anti-hyprtnsv agents tkn,M
4148F,,Hep A vac injxn admin/recvd,M
4149F,,Hep B vac injxn admin/recvd,M
4150F,,Pt recvng antivir txmnt hepc,M
41500,,Fixation of tongue,A
4151F,,Pt not recvng antiv hep c,M
41510,,Tongue to lip surgery,A
41512,,Tongue suspension,A
41520,,Reconstruction tongue fold,A
4153F,,Combo pegintf/rib rx,M
41530,,Tongue base vol reduction,A
4155F,,Hep A vac series prev recvd,I
4157F,,Hep B vac series prev recvd,I
4158F,,Pt edu re alcoh drnkng done,M
4159F,,Contrcp talk b/4 antiv txmnt,M
41599,,Tongue and mouth surgery,C
4163F,,Pt couns 4 txmnt opt prost,I
4164F,,Adjv hrmnl thxpy rxd,M
4165F,,3d-crt/imrt received,M
4167F,,Hd bed tilted 1st day vent,I
4168F,,Pt care icu&vent w/in 24hrs,I
4169F,,No pt care ICU/vent in 24hrs,I
4171F,,Pt rcvng esa thxpy,M
4172F,,Pt not rcvng esa thxpy,M
4174F,,Couns potent glauc impct,I
4175F,,Vis of >= 20/40 w/in 90 days,M
4176F,,Talk re uv light pt/crgvr,I
4177F,,Talk pt/crgvr re areds prev,M
4178F,,Antid glbln rcvd w/in 26wks,I
4179F,,Tamoxifen/AI prescribed,M
4180F,,Adjv thxpyrxd/rcvd colon ca,M
41800,,Drainage of gum lesion,A
41805,,Removal foreign body gum,A
41806,,Removal foreign body jawbone,A
4181F,,Conformal radn thxpy rcvd,I
4182F,,No conformal radn thxpy,I
41820,,Excision gum each quadrant,R
41821,,Excision of gum flap,R
41822,,Excision of gum lesion,R
41823,,Excision of gum lesion,R
41825,,Excision of gum lesion,A
41826,,Excision of gum lesion,A
41827,,Excision of gum lesion,A
41828,,Excision of gum lesion,R
41830,,Removal of gum tissue,R
4185F,,Continuous ppi or h2ra rcvd,I
41850,,Treatment of gum lesion,R
4186F,,No cont ppi or h2ra rcvd,I
4187F,,Anti rheum drugthxpyrxd/gvn,M
41870,,Gum graft,R
41872,,Repair gum,R
41874,,Repair tooth socket,R
4188F,,Approp ACE/ARB tstng done,I
4189F,,Approp digoxin tstng done,I
41899,,Dental surgery procedure,C
4190F,,Approp diuretic tstng done,I
4191F,,Approp anticonvuls tstng,I
4192F,,Pt not rcvng glucoco thxpy,M
4193F,,Pt rcvng<10mg daily predniso,M
4194F,,Pt rcvng>10mg daily predniso,M
4195F,,Pt rcvng anti-rheum thxpy RA,M
4196F,,Ptnot rcvng anti-rhm thxpyRA,M
4200F,,External beam to prost only,M
42000,,Drainage mouth roof lesion,A
4201F,,Extrnl beam other than prost,M
4210F,,Ace/arb thxpy for mos/>,I
42100,,Biopsy roof of mouth,A
42104,,Excision lesion mouth roof,A
42106,,Excision lesion mouth roof,A
42107,,Excision lesion mouth roof,A
42120,,Remove palate/lesion,A
42140,,Excision of uvula,A
42145,,Repair palate pharynx/uvula,A
42160,,Treatment mouth roof lesion,A
42180,,Repair palate,A
42182,,Repair palate,A
4220F,,Digoxin thxpy for 6 mos/>,I
42200,,Reconstruct cleft palate,A
42205,,Reconstruct cleft palate,A
4221F,,Diuretic thxpy for 6 mos/>,I
42210,,Reconstruct cleft palate,A
42215,,Reconstruct cleft palate,A
42220,,Reconstruct cleft palate,A
42225,,Reconstruct cleft palate,A
42226,,Lengthening of palate,A
42227,,Lengthening of palate,A
42235,,Repair palate,A
42260,,Repair nose to lip fistula,A
42280,,Preparation palate mold,A
42281,,Insertion palate prosthesis,A
42299,,Palate/uvula surgery,C
4230F,,Anticonv thxpy for 6 mos/>,I
42300,,Drainage of salivary gland,A
42305,,Drainage of salivary gland,A
42310,,Drainage of salivary gland,A
42320,,Drainage of salivary gland,A
42330,,Removal of salivary stone,A
42335,,Removal of salivary stone,A
42340,,Removal of salivary stone,A
4240F,,Instr xrcz 4bk pn >12 weeks,I
42400,,Biopsy of salivary gland,A
42405,,Biopsy of salivary gland,A
42408,,Excision of salivary cyst,A
42409,,Drainage of salivary cyst,A
42410,,Excise parotid gland/lesion,A
42415,,Excise parotid gland/lesion,A
4242F,,Sprvsd xrcz bk pn >12 weeks,I
42420,,Excise parotid gland/lesion,A
42425,,Excise parotid gland/lesion,A
42426,,Excise parotid gland/lesion,A
42440,,Excise submaxillary gland,A
4245F,,Pt instr nrml lifest,M
42450,,Excise sublingual gland,A
4248F,,Pt instr no bd rest 4 days/>,M
4250F,,Wrmng 4 surg normothermia,M
42500,,Repair salivary duct,A
42505,,Repair salivary duct,A
42507,,Parotid duct diversion,A
42508,,Parotid duct diversion,A
42509,,Parotid duct diversion,A
42510,,Parotid duct diversion,A
4255F,,Anesth 60 min/> as docd,M
42550,,Injection for salivary x-ray,A
4256F,,Anesthe <60 min as docd,M
4260F,,Wound srfc culturetech used,M
42600,,Closure of salivary fistula,A
4261F,,Tech other than surfc cultr,M
4265F,,Wet-dry dressings rx recmd,M
42650,,Dilation of salivary duct,A
4266F,,No wet-dry drssings rx recmd,M
42660,,Dilation of salivary duct,A
42665,,Ligation of salivary duct,A
4267F,,Comprssion thxpy prescribed,M
4268F,,Pt ed re comp thxpy rcvd,I
4269F,,Appropos mthd offloading Rxd,I
42699,,Salivary surgery procedure,C
4270F,,Pt rcvng anti r-viral thxpy,M
42700,,Drainage of tonsil abscess,A
4271F,,Pt rcvng anti r-viral thxpy,M
42720,,Drainage of throat abscess,A
42725,,Drainage of throat abscess,A
4274F,,Flu immuno admind rcvd,I
4276F,,Potent antivir thxpy Rxd,M
4279F,,PCP prophylaxis Rxd,I
4280F,,PCP prophylax Rxd 3mon low %,M
42800,,Biopsy of throat,A
42802,,Biopsy of throat,A
42804,,Biopsy of upper nose/throat,A
42806,,Biopsy of upper nose/throat,A
42808,,Excise pharynx lesion,A
42809,,Remove pharynx foreign body,A
42810,,Excision of neck cyst,A
42815,,Excision of neck cyst,A
42820,,Remove tonsils and adenoids,A
42821,,Remove tonsils and adenoids,A
42825,,Removal of tonsils,A
42826,,Removal of tonsils,A
42830,,Removal of adenoids,A
42831,,Removal of adenoids,A
42835,,Removal of adenoids,A
42836,,Removal of adenoids,A
42842,,Extensive surgery of throat,A
42844,,Extensive surgery of throat,A
42845,,Extensive surgery of throat,A
42860,,Excision of tonsil tags,A
42870,,Excision of lingual tonsil,A
42890,,Partial removal of pharynx,A
42892,,Revision of pharyngeal walls,A
42894,,Revision of pharyngeal walls,A
4290F,,Pt scrned for inj drug use,M
42900,,Repair throat wound,A
4293F,,Pt scrnd hgh-risk sex behav,M
42950,,Reconstruction of throat,A
42953,,Repair throat esophagus,A
42955,,Surgical opening of throat,A
42960,,Control throat bleeding,A
42961,,Control throat bleeding,A
42962,,Control throat bleeding,A
42970,,Control nose/throat bleeding,A
42971,,Control nose/throat bleeding,A
42972,,Control nose/throat bleeding,A
42999,,Throat surgery procedure,C
4300F,,Pt rcvng warf thxpy,I
4301F,,Pt not rcvng warf thxpy,I
43020,,Incision of esophagus,A
43030,,Throat muscle surgery,A
43045,,Incision of esophagus,A
4305F,,Pt ed re ft care inspct rcvd,I
4306F,,Pt tlk psych & Rx opd addic,I
43100,,Excision of esophagus lesion,A
43101,,Excision of esophagus lesion,A
43107,,Removal of esophagus,A
43108,,Removal of esophagus,A
43112,,Removal of esophagus,A
43113,,Removal of esophagus,A
43116,,Partial removal of esophagus,A
43117,,Partial removal of esophagus,A
43118,,Partial removal of esophagus,A
43121,,Partial removal of esophagus,A
43122,,Partial removal of esophagus,A
43123,,Partial removal of esophagus,A
43124,,Removal of esophagus,A
43130,,Removal of esophagus pouch,A
43135,,Removal of esophagus pouch,A
4320F,,Pt talk psychsoc&rx oh dpnd,M
43200,,Esophagus endoscopy,A
43201,,Esoph scope w/submucous inj,A
43202,,Esophagus endoscopy biopsy,A
